ind,id,s,h,timing
75,0.039090509768575435,0.039090509768575435,0.35714103234931827,E
76,0.4403785355342552,0.4403785355342552,0.09871702617965639,L
76,0.09588983634021134,0.09588983634021134,0.7402608781121671,E
76,0.48520893399603665,0.48520893399603665,0.27096466603688896,E
81,0.7244758536061272,0.7244758536061272,0.5859630713239312,E
81,0.1524649789603427,0.1524649789603427,0.48415548796765506,L
82,0.14072435790672896,0.14072435790672896,0.017975283320993185,E
85,0.062066092896275224,0.062066092896275224,0.19418947049416602,E
85,0.9166826277785003,0.9166826277785003,0.008349924813956022,L
86,0.04296432114206254,0.04296432114206254,0.2935281277168542,L
86,0.35818910535424947,0.35818910535424947,0.9007534319534898,L
95,0.12268210998270661,0.12268210998270661,0.5540451451670378,L
100,0.3494134016148746,0.3494134016148746,0.1961516581941396,E
100,0.2145814746338874,0.2145814746338874,0.2577963548246771,L
100,0.11899878011550755,0.11899878011550755,0.11089694825932384,L
100,0.05588782877195626,0.05588782877195626,0.25353002129122615,E
100,0.0505166230397299,0.0505166230397299,0.5230468241497874,E
100,0.6098162621818483,0.6098162621818483,0.3926392022985965,E
103,0.24765706623438744,0.24765706623438744,0.3128440191503614,E
105,0.2577068460732698,0.2577068460732698,0.028302159858867526,E
105,0.023973421202972533,0.023973421202972533,0.4442893958184868,E
107,0.28047398081514985,0.28047398081514985,0.11623105220496655,E
107,0.47510243876371533,0.47510243876371533,0.01683171489275992,L
107,0.2392623866582289,0.2392623866582289,0.3537418090272695,L
107,0.6109294974943623,0.6109294974943623,0.6963436116930097,L
107,0.4060329117625952,0.4060329117625952,0.8701290027238429,E
108,0.2890891483798623,0.2890891483798623,0.08465152326971292,E
108,0.7691417322028429,0.7691417322028429,0.051193729508668184,E
109,0.1226103243790567,0.1226103243790567,0.20013071619905531,E
114,0.08157419650815427,0.08157419650815427,0.03793858736753464,L
114,0.03670898097101599,0.03670898097101599,0.00688253971748054,L
115,0.020935328933410345,0.020935328933410345,0.3427362034562975,L
115,0.12283713347278535,0.12283713347278535,0.5968343170825392,E
115,0.8817658898839728,0.8817658898839728,0.055872692726552486,L
119,0.30274627134203913,0.30274627134203913,0.9944742403458804,L
120,0.29290154511574656,0.29290154511574656,0.46731458185240626,E
121,0.7480381926428527,0.7480381926428527,0.6605017594993114,L
121,0.02329408162739128,0.02329408162739128,0.018555602757260203,L
122,0.08751033718232065,0.08751033718232065,0.6591310007497668,E
122,0.11124269895721227,0.11124269895721227,0.28735398408025503,E
123,0.2602010079612955,0.2602010079612955,0.19217032403685153,E
123,0.062066092896275224,0.062066092896275224,0.19418947049416602,E
123,0.14201608007308095,0.14201608007308095,0.2752176085487008,L
126,0.11058611996937544,0.11058611996937544,0.772846112260595,L
128,0.036553471926599745,0.036553471926599745,0.39760877238586545,L
130,0.13747380914632232,0.13747380914632232,0.009045148268342018,E
131,0.036367427948862316,0.036367427948862316,0.39010511664673686,E
131,0.05848698516841978,0.05848698516841978,0.16455836896784604,L
131,0.21776969742961227,0.21776969742961227,0.8118123607710004,E
131,0.5148816442023962,0.5148816442023962,0.34537844453006983,E
131,0.07030262345448136,0.07030262345448136,0.7281301869079471,L
131,0.2625852077640593,0.2625852077640593,0.8900147713720798,L
135,0.12340403550304473,0.12340403550304473,0.49145554448477924,E
135,0.06493751590140164,0.06493751590140164,0.03774683969095349,E
135,0.19309528973419218,0.19309528973419218,0.4960357388481498,L
135,0.020935328933410345,0.020935328933410345,0.3427362034562975,L
137,0.12465128997340799,0.12465128997340799,0.2805555472150445,E
137,0.343736939416267,0.343736939416267,0.7937381837982684,E
138,0.09588983634021134,0.09588983634021134,0.7402608781121671,E
139,0.16419560165610164,0.16419560165610164,0.34602739405818284,L
143,0.22913650667294858,0.22913650667294858,0.2678869045339525,E
143,0.036553471926599745,0.036553471926599745,0.39760877238586545,L
143,0.20157844287808982,0.20157844287808982,0.3379914676770568,L
